slug,name,brand,category_slug,description,price,original_price,rating,review_count,image,badge,stock,is_flash,flash_reserved_pct
sanex-stick-60ml,Sanex Stick - Protector,SANEX,maison,Sanex Stick - Protector - format 60ml.,650,720,4.6,201,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250620200311-GwJyu0qR.png,PROMO,49,0,0
stick-dove-50ml,Dove Classic Stick,DOVE,maison,Dove Classic Stick - format 50ml.,700,,4.4,51,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250620201210-JOvQeYC4.png,,49,0,0
sanex-men-250ml,Sanex Men Gel Douche,SANEX,maison,Sanex Men Gel Douche - format Normal Skin 250ml.,1100,,4.8,325,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250618151538-3zfx1uHc.png,,50,0,0
pringles-barbecue-165g,Pringles Barbecue 165g,PRINGLES,chips,"Pringles Barbecue 165g. Une sélection MART+, l'épicerie fine de terroir.",1000,1100,4.6,190,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602145118-4GbmObbt.png,PROMO,0,0,0
pringles-salt-vinegar-165g,Pringles Salt & Vinegar 165g,PRINGLES,chips,"Pringles Salt & Vinegar 165g. Une sélection MART+, l'épicerie fine de terroir.",1000,1100,4.9,409,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602145129-XFGUgEaf.png,PROMO,47,1,45
pringles-original-165g,Pringles Original 165g,PRINGLES,chips,"Pringles Original 165g. Une sélection MART+, l'épicerie fine de terroir.",1000,1100,4.5,61,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602145143-rKMoVYwQ.png,PROMO,43,0,0
pringles-ketchup-165g,Pringles Ketchup 165g,PRINGLES,chips,"Pringles Ketchup 165g. Une sélection MART+, l'épicerie fine de terroir.",1100,,4.7,289,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602145203-I2CAgri8.png,,50,0,0
pringles-sour-cream-onion-165g,Pringles Sour Cream & Onion 165g,PRINGLES,chips,"Pringles Sour Cream & Onion 165g. Une sélection MART+, l'épicerie fine de terroir.",1000,1100,4.4,57,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602145215-W4XEUOR6.png,PROMO,44,0,0
pringles-sour-cream-onion-300g,Pringles Sour Cream & Onion 195G,PRINGLES,chips,"Pringles Sour Cream & Onion 195G. Une sélection MART+, l'épicerie fine de terroir.",1250,,4.8,358,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602145227-qIWzm6SC.png,,56,0,0
pringles-hot-spicy-165g,Pringles Hot & Spicy 165g,PRINGLES,chips,"Pringles Hot & Spicy 165g. Une sélection MART+, l'épicerie fine de terroir.",1100,,4.8,362,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602144943-T4wh5NEX.png,,0,0,0
alesto-250g-grillees-salees,Alesto Pistaches Grillées Salées,ALESTO,chips,Alesto Pistaches Grillées Salées - format 250g.,1750,,4.6,158,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602230115-uAaY5HFO.png,,0,0,0
alesto-pacan-200g,Alesto Pacan 200g,ALESTO,chips,"Alesto Pacan 200g. Une sélection MART+, l'épicerie fine de terroir.",1800,,4.8,305,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602230130-aJ9qJBsB.png,,0,0,0
alesto-cajou-150g,Alesto Cajou 150g,ALESTO,chips,"Alesto Cajou 150g. Une sélection MART+, l'épicerie fine de terroir.",1100,,4.5,96,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602230712-FYd4LVIZ.png,,0,0,0
nestle-ptite-cereales-415g-vanille,Nestlé P'tite Céréales 415g Vanille,NESTLÉ,epicerie,"Nestlé P'tite Céréales 415g Vanille. Une sélection MART+, l'épicerie fine de terroir.",1880,1900,4.4,46,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250813194534-ZdpoTvIJ.png,PROMO,0,0,0
cereales-fitness-625g,Céréales Fitness 625g,FITNESS,epicerie,"Céréales Fitness 625g. Une sélection MART+, l'épicerie fine de terroir.",1999,2160,4.7,249,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602233321-sRZlywSA.png,PROMO,49,0,0
cereales-chokella-350g,Céréales Chokella 350g,CÉRÉALES,epicerie,"Céréales Chokella 350g. Une sélection MART+, l'épicerie fine de terroir.",1499,1620,4.5,119,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602233241-5e0HWLgP.png,PROMO,50,0,0
cereales-kitkat-330g,Céréales KitKat 330g,KITKAT,chocolats,"Céréales KitKat 330g. Une sélection MART+, l'épicerie fine de terroir.",1650,,4.9,386,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602233334-GfJ3Slty.png,BESTSELLER,49,0,0
cereales-oreo-320g,Céréales Oreo 320g,OREO,epicerie,"Céréales Oreo 320g. Une sélection MART+, l'épicerie fine de terroir.",1899,2040,4.9,375,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602233447-QjimqeEY.png,PROMO,50,1,53
cereales-crunch-375g,Céréales Crunch 375g,CRUNCH,chocolats,"Céréales Crunch 375g. Une sélection MART+, l'épicerie fine de terroir.",1740,,4.4,44,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602233458-Ycnl4u0c.png,,49,0,0
cereales-nesquik-375g,Céréales Nesquik 375g,CÉRÉALES,epicerie,"Céréales Nesquik 375g. Une sélection MART+, l'épicerie fine de terroir.",1900,,4.9,379,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602233509-codIBCdF.png,,50,0,0
